# Per-ward service accessibility for chennai. Scores are weighted formulas, NOT machine learning, and a missing input is reported as UNAVAILABLE rather than scored zero.
ward_no,ward_key,ward_name,corporation,zone,area_km2,facilities_total,facility_density_per_km2,counts_healthcare,counts_education,counts_transport,counts_government,counts_daily_life,nearest_m_healthcare,nearest_m_education,nearest_m_transport,nearest_m_government,nearest_m_daily_life,scores_healthcare,scores_education,scores_transport,scores_government,scores_daily_life,infrastructure_score,median_psf,listings,development_pressure
193,Greater Chennai Corporation|193,Ward 193 - Srinivasa Nagar,Greater Chennai Corporation,SHOZHANGANALLUR,2.1,10,4.8,1,7,0,1,1,182,101,1637,270,269,97,97,45,97,91,85,,,
198,Greater Chennai Corporation|198,Ward 198 - Karapakkam,Greater Chennai Corporation,SHOZHANGANALLUR,6.34,17,2.7,4,5,6,0,2,174,839,284,1158,614,97,79,91,86,80,87,6705,1366,13.0
199,Greater Chennai Corporation|199,Ward 199 - Sholinganallur,Greater Chennai Corporation,SHOZHANGANALLUR,8.13,13,1.6,2,2,5,2,2,621,618,464,1260,782,90,85,85,84,74,84,,,
192,Greater Chennai Corporation|192,Ward 192 - Neelankarai,Greater Chennai Corporation,SHOZHANGANALLUR,2.57,12,4.7,4,1,5,0,2,296,775,207,1411,651,95,81,93,82,78,86,,,
200,Greater Chennai Corporation|200,Ward 200 - CMWSSB Division 200,Greater Chennai Corporation,SHOZHANGANALLUR,7.57,20,2.6,3,16,1,0,0,314,114,644,2833,1964,95,97,79,65,35,74,,,
194,Greater Chennai Corporation|194,Ward 194 - Injambakkam,Greater Chennai Corporation,SHOZHANGANALLUR,4.54,9,2.0,0,3,6,0,0,1579,548,147,2590,1741,74,86,95,68,42,73,,,
197,Greater Chennai Corporation|197,Ward 197 - Uthandi,Greater Chennai Corporation,SHOZHANGANALLUR,8.53,16,1.9,1,4,10,0,1,1373,1132,245,2103,2088,77,72,92,74,30,69,,,
185,Greater Chennai Corporation|185,Ward 185 - Ullagaram,Greater Chennai Corporation,PERUNKUDI,0.95,8,8.4,2,1,1,0,4,397,332,522,575,523,93,92,83,93,83,89,,,
186,Greater Chennai Corporation|186,Ward 186 - Puzhuthivakkam,Greater Chennai Corporation,PERUNKUDI,2.4,25,10.4,3,6,7,1,8,749,245,517,531,734,88,94,83,93,76,87,,,
184,Greater Chennai Corporation|184,Ward 184 - CMWSSB Division 186,Greater Chennai Corporation,PERUNKUDI,3.14,7,2.2,1,3,0,0,3,86,496,1108,1452,117,99,88,63,82,96,86,,,
181,Greater Chennai Corporation|181,Ward 181 - Kottivakkam,Greater Chennai Corporation,PERUNKUDI,1.64,16,9.8,6,2,5,0,3,112,363,433,825,341,98,91,86,90,89,91,,,
183,Greater Chennai Corporation|183,Ward 183 - Palavakkam,Greater Chennai Corporation,PERUNKUDI,1.55,8,5.2,1,2,2,1,2,565,607,385,434,395,91,85,87,95,87,89,,,
189,Greater Chennai Corporation|189,Ward 189 - Narayanapuram,Greater Chennai Corporation,PERUNKUDI,10.27,14,1.4,1,5,6,0,2,909,554,504,2250,893,85,86,83,72,70,79,,,
190,Greater Chennai Corporation|190,Ward 190 - CMWSSB Division 190,Greater Chennai Corporation,PERUNKUDI,3.09,21,6.8,5,5,6,2,3,120,234,179,628,162,98,94,94,92,95,95,,,
191,Greater Chennai Corporation|191,Ward 191 - Jalladampet,Greater Chennai Corporation,PERUNKUDI,4.19,3,0.7,1,1,0,0,1,923,753,861,1042,871,85,81,71,87,71,79,,,
182,Greater Chennai Corporation|182,Ward 182 - Perungudi,Greater Chennai Corporation,PERUNKUDI,3.3,22,6.7,4,6,7,1,4,603,663,585,1595,120,90,83,80,80,96,86,,,
126,Greater Chennai Corporation|126,Ward 126 - Mandaveli,Greater Chennai Corporation,TEYNAMPET,1.05,18,17.2,7,2,5,2,2,242,187,191,277,402,96,95,94,97,87,94,,,
125,Greater Chennai Corporation|125,Ward 125 - Santhome,Greater Chennai Corporation,TEYNAMPET,1.25,11,8.8,1,7,2,1,0,407,249,460,470,522,93,94,85,94,83,90,,,
115,Greater Chennai Corporation|115,Ward 115 - Royapettah,Greater Chennai Corporation,TEYNAMPET,0.86,9,10.5,1,4,4,0,0,673,359,297,609,864,89,91,90,92,71,87,,,
116,Greater Chennai Corporation|116,Ward 116 - Mattankuppam,Greater Chennai Corporation,TEYNAMPET,0.68,13,19.0,3,1,7,1,1,20,403,332,327,391,100,90,89,96,87,92,,,
114,Greater Chennai Corporation|114,Ward 114 - Triplicane,Greater Chennai Corporation,TEYNAMPET,1.77,26,14.7,10,1,9,5,1,15,666,363,585,588,100,83,88,93,80,89,,,
124,Greater Chennai Corporation|124,Ward 124 - Mylapore,Greater Chennai Corporation,TEYNAMPET,1.03,22,21.3,2,3,12,3,2,15,310,133,199,96,100,92,96,98,97,97,,,
113,Greater Chennai Corporation|113,Ward 113 - Gemini,Greater Chennai Corporation,TEYNAMPET,1.7,48,28.2,17,6,9,4,12,446,25,162,266,335,93,99,95,97,89,95,,,
123,Greater Chennai Corporation|123,Ward 123 - Alwarpet,Greater Chennai Corporation,TEYNAMPET,2.26,59,26.2,20,5,22,2,10,93,482,133,123,101,98,88,96,98,97,95,,,
112,Greater Chennai Corporation|112,Ward 112 - Trustpuram,Greater Chennai Corporation,TEYNAMPET,1.07,10,9.4,3,4,1,1,1,553,391,946,496,276,91,90,68,94,91,87,,,
122,Greater Chennai Corporation|122,Ward 122 - Nandanam,Greater Chennai Corporation,TEYNAMPET,1.83,37,20.2,10,3,14,4,6,250,278,237,410,257,96,93,92,95,91,93,,,
121,Greater Chennai Corporation|121,Ward 121 - CMWSSB Division 121,Greater Chennai Corporation,TEYNAMPET,0.93,28,30.1,9,4,14,0,1,107,310,28,918,507,98,92,99,89,83,92,,,
120,Greater Chennai Corporation|120,Ward 120 - Lloyds Colony,Greater Chennai Corporation,TEYNAMPET,0.54,11,20.5,6,2,2,1,0,114,323,317,266,806,98,92,89,97,73,90,,,
109,Greater Chennai Corporation|109,Ward 109 - CMWSSB Division 112,Greater Chennai Corporation,TEYNAMPET,0.95,7,7.4,0,3,2,1,1,354,198,411,307,340,94,95,86,96,89,92,,,
119,Greater Chennai Corporation|119,Ward 119 - CIT Colony,Greater Chennai Corporation,TEYNAMPET,1.4,39,27.9,5,7,21,1,5,210,273,147,658,185,96,93,95,92,94,94,,,
118,Greater Chennai Corporation|118,Ward 118 - Teynampet,Greater Chennai Corporation,TEYNAMPET,1.92,45,23.4,7,7,16,5,10,244,105,261,466,569,96,97,91,94,81,92,,,
117,Greater Chennai Corporation|117,Ward 117 - CMWSSB Division 117,Greater Chennai Corporation,KODAMBAKKAM,1.34,38,28.4,9,5,8,2,14,239,246,307,615,187,96,94,90,92,94,93,,,
108,Greater Chennai Corporation|108,Ward 108 - Chetpet,Greater Chennai Corporation,ANNA NAGAR,1.54,24,15.6,13,3,5,3,0,245,195,410,402,931,96,95,86,95,69,88,,,
106,Greater Chennai Corporation|106,Ward 106 - NGO Colony,Greater Chennai Corporation,ANNA NAGAR,0.89,7,7.9,0,0,3,0,4,661,597,232,671,421,89,85,92,92,86,89,,,
107,Greater Chennai Corporation|107,Ward 107 - Aminjikarai,Greater Chennai Corporation,ANNA NAGAR,1.26,22,17.5,8,2,5,0,7,172,312,246,676,234,97,92,92,92,92,93,,,
105,Greater Chennai Corporation|105,Ward 105 - Arumbakkam,Greater Chennai Corporation,ANNA NAGAR,1.32,17,12.9,6,5,1,0,5,250,382,448,469,288,96,90,85,94,90,91,,,
104,Greater Chennai Corporation|104,Ward 104 - Malar Colony,Greater Chennai Corporation,ANNA NAGAR,2.3,28,12.2,10,1,11,2,4,193,692,280,311,470,97,83,91,96,84,90,,,
99,Greater Chennai Corporation|99,Ward 99 - CMWSSB Division 104,Greater Chennai Corporation,ANNA NAGAR,1.31,24,18.4,12,1,9,0,2,108,534,81,646,598,98,87,97,92,80,91,,,
98,Greater Chennai Corporation|98,Ward 98 - Ayanavaram,Greater Chennai Corporation,ANNA NAGAR,1.45,5,3.5,4,1,0,0,0,435,384,668,1045,1866,93,90,78,87,38,77,,,
100,Greater Chennai Corporation|100,Ward 100 - Kilpauk,Greater Chennai Corporation,ANNA NAGAR,2.22,38,17.1,27,6,4,0,1,375,230,764,681,902,94,94,75,91,70,85,,,
97,Greater Chennai Corporation|97,Ward 97 - CMWSSB Division 97,Greater Chennai Corporation,ANNA NAGAR,0.75,1,1.3,0,1,0,0,0,477,299,447,622,1187,92,93,85,92,60,84,,,
101,Greater Chennai Corporation|101,Ward 101 - Shenoy Nagar,Greater Chennai Corporation,ANNA NAGAR,1.53,18,11.8,8,2,4,2,2,309,534,340,520,783,95,87,89,94,74,88,,,
96,Greater Chennai Corporation|96,Ward 96 - ICF Colony,Greater Chennai Corporation,ANNA NAGAR,2.77,9,3.3,1,3,2,3,0,319,315,918,353,1353,95,92,69,96,55,81,,,
102,Greater Chennai Corporation|102,Ward 102 - Anna Nagar,Greater Chennai Corporation,ANNA NAGAR,1.8,43,23.9,15,6,15,3,4,166,23,95,207,215,97,99,97,97,93,97,7810,788,1.7
95,Greater Chennai Corporation|95,Ward 95 - CMWSSB Division 95,Greater Chennai Corporation,ANNA NAGAR,2.35,26,11.0,9,6,7,1,3,408,461,227,1117,355,93,88,92,86,88,89,,,
103,Greater Chennai Corporation|103,Ward 103 - Nagerkoyil Sudalaimuthu Krishnan Nagar,Greater Chennai Corporation,ANNA NAGAR,2.46,28,11.4,11,4,9,1,3,277,164,267,504,183,95,96,91,94,94,94,,,
94,Greater Chennai Corporation|94,Ward 94 - CMWSSB Division 94,Greater Chennai Corporation,ANNA NAGAR,1.51,6,4.0,2,0,4,0,0,419,678,436,1702,817,93,83,85,79,73,83,,,
15,Greater Chennai Corporation|15,Ward 15 - Edayanchavadi,Greater Chennai Corporation,MANALI,8.76,0,0.0,0,0,0,0,0,2359,4038,4050,4477,10116,61,0,0,44,0,21,,,
16,Greater Chennai Corporation|16,Ward 16 - Saidayankuppam,Greater Chennai Corporation,MANALI,10.09,0,0.0,0,0,0,0,0,1149,3612,3275,3917,7409,81,10,0,51,0,28,,,
17,Greater Chennai Corporation|17,Ward 17 - CMWSSB Division 17,Greater Chennai Corporation,MANALI,6.72,0,0.0,0,0,0,0,0,2732,2285,2530,7020,5133,54,43,16,12,0,25,,,
18,Greater Chennai Corporation|18,Ward 18 - CMWSSB Division 21,Greater Chennai Corporation,MANALI,8.13,0,0.0,0,0,0,0,0,1185,4377,766,5047,4898,80,0,74,37,0,38,,,
19,Greater Chennai Corporation|19,Ward 19 - Mathur,Greater Chennai Corporation,MANALI,4.15,1,0.2,0,0,1,0,0,1091,2510,1180,6606,3613,82,37,61,17,0,39,,,
20,Greater Chennai Corporation|20,Ward 20 - CMWSSB Division 20,Greater Chennai Corporation,MANALI,0.64,0,0.0,0,0,0,0,0,177,3351,688,5237,3816,97,16,77,35,0,45,,,
21,Greater Chennai Corporation|21,Ward 21 - Manali,Greater Chennai Corporation,MANALI,1.88,3,1.6,2,0,1,0,0,336,3523,695,5178,4024,94,12,77,35,0,44,,,
79,Greater Chennai Corporation|79,Ward 79 - CMWSSB Division 79,Greater Chennai Corporation,AMBATTUR,2.11,4,1.9,1,2,1,0,0,1008,396,612,632,344,83,90,80,92,89,87,,,
80,Greater Chennai Corporation|80,Ward 80 - CMWSSB Division 80,Greater Chennai Corporation,AMBATTUR,1.5,3,2.0,0,0,1,1,1,1211,1103,166,183,761,80,72,94,98,75,84,,,
81,Greater Chennai Corporation|81,Ward 81 - Ambattur,Greater Chennai Corporation,AMBATTUR,1.67,30,17.9,6,10,2,2,10,251,342,241,373,196,96,91,92,95,93,93,,,
82,Greater Chennai Corporation|82,Ward 82 - CMWSSB Division 82,Greater Chennai Corporation,AMBATTUR,3.9,8,2.0,0,2,4,1,1,1679,407,577,1288,571,72,90,81,84,81,82,,,
83,Greater Chennai Corporation|83,Ward 83 - CMWSSB Division 83,Greater Chennai Corporation,AMBATTUR,6.68,15,2.2,3,2,8,0,2,1127,873,800,3041,1345,81,78,73,62,55,70,,,
84,Greater Chennai Corporation|84,Ward 84 - Korattur,Greater Chennai Corporation,AMBATTUR,3.15,7,2.2,0,1,6,0,0,1768,513,308,2072,1633,71,87,90,74,46,74,,,
85,Greater Chennai Corporation|85,Ward 85 - CMWSSB Division 85,Greater Chennai Corporation,AMBATTUR,4.41,10,2.3,1,0,7,2,0,502,1612,209,718,380,92,60,93,91,87,85,,,
86,Greater Chennai Corporation|86,Ward 86 - CMWSSB Division 86,Greater Chennai Corporation,AMBATTUR,6.29,13,2.1,3,0,9,0,1,623,1406,736,1572,735,90,65,75,80,76,77,,,
87,Greater Chennai Corporation|87,Ward 87 - CMWSSB Division 89,Greater Chennai Corporation,AMBATTUR,0.96,1,1.0,0,0,1,0,0,1119,1101,250,1214,913,81,72,92,85,70,80,,,
88,Greater Chennai Corporation|88,Ward 88 - Padi,Greater Chennai Corporation,AMBATTUR,2.29,10,4.4,1,1,5,2,1,266,605,546,438,429,96,85,82,95,86,89,,,
90,Greater Chennai Corporation|90,Ward 90 - CMWSSB Division 93,Greater Chennai Corporation,AMBATTUR,1.09,20,18.3,6,1,4,7,2,293,423,306,275,275,95,89,90,97,91,92,,,
92,Greater Chennai Corporation|92,Ward 92 - CMWSSB Division 92,Greater Chennai Corporation,AMBATTUR,1.05,14,13.4,7,2,0,0,5,282,504,439,648,275,95,87,85,92,91,90,,,
93,Greater Chennai Corporation|93,Ward 93 - Mogappair East,Greater Chennai Corporation,AMBATTUR,1.42,1,0.7,1,0,0,0,0,755,591,615,654,643,87,85,80,92,79,85,,,
89,Greater Chennai Corporation|89,Ward 89 - Collector Nagar,Greater Chennai Corporation,AMBATTUR,1.0,15,15.0,3,4,4,2,2,350,381,86,484,546,94,90,97,94,82,91,,,
162,Greater Chennai Corporation|162,Ward 162 - Thillai Ganga Nagar,Greater Chennai Corporation,ALANDUR,1.25,3,2.4,0,1,2,0,0,274,483,296,892,637,95,88,90,89,79,88,,,
163,Greater Chennai Corporation|163,Ward 163 - CMWSSB Division 163,Greater Chennai Corporation,ALANDUR,0.76,5,6.5,2,0,0,2,1,441,409,465,58,546,93,90,84,99,82,90,,,
164,Greater Chennai Corporation|164,Ward 164 - Pazhavanthangal,Greater Chennai Corporation,ALANDUR,0.61,27,44.5,9,3,6,0,9,190,320,149,552,120,97,92,95,93,96,95,,,
158,Greater Chennai Corporation|158,Ward 158 - Nandambakkam,Greater Chennai Corporation,ALANDUR,2.03,5,2.5,0,0,3,1,1,572,546,390,597,628,90,86,87,93,79,87,,,
159,Greater Chennai Corporation|159,Ward 159 - Meenambakkam,Greater Chennai Corporation,ALANDUR,3.39,6,1.8,0,0,3,3,0,1013,1172,732,541,1693,83,71,76,93,44,73,,,
167,Greater Chennai Corporation|167,Ward 167 - Nanganallur,Greater Chennai Corporation,ALANDUR,1.14,38,33.2,15,4,9,3,7,270,163,301,345,321,96,96,90,96,89,93,,,
157,Greater Chennai Corporation|157,Ward 157 - Manapakkam,Greater Chennai Corporation,ALANDUR,4.61,22,4.8,3,1,11,1,6,165,666,238,884,119,97,83,92,89,96,91,,,
166,Greater Chennai Corporation|166,Ward 166 - Moovarasampettai,Greater Chennai Corporation,ALANDUR,1.31,1,0.8,0,1,0,0,0,177,275,79,45,140,97,93,97,99,95,96,,,
165,Greater Chennai Corporation|165,Ward 165 - CMWSSB Division 165,Greater Chennai Corporation,ALANDUR,1.17,17,14.5,5,2,6,0,4,193,63,326,954,651,97,98,89,88,78,90,,,
156,Greater Chennai Corporation|156,Ward 156 - CMWSSB Division 156,Greater Chennai Corporation,ALANDUR,2.8,7,2.5,1,2,1,2,1,896,587,1421,751,168,85,85,53,91,94,82,,,
67,Greater Chennai Corporation|67,Ward 67 - CMWSSB Division 68,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.91,2,2.2,1,1,0,0,0,452,361,1299,1327,1018,92,91,57,83,66,78,,,
70,Greater Chennai Corporation|70,Ward 70 - CMWSSB Division 69,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.74,16,9.2,7,4,3,0,2,115,106,299,669,241,98,97,90,92,92,94,,,
71,Greater Chennai Corporation|71,Ward 71 - Perambur,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.54,11,7.1,1,1,9,0,0,430,711,233,593,842,93,82,92,93,72,86,,,
74,Greater Chennai Corporation|74,Ward 74 - Otteri,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.96,4,4.2,0,0,2,2,0,582,920,470,616,1210,90,77,84,92,60,81,,,
77,Greater Chennai Corporation|77,Ward 77 - CMWSSB Division 77,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.58,0,0.0,0,0,0,0,0,576,743,888,1010,618,90,81,70,87,79,81,,,
69,Greater Chennai Corporation|69,Ward 69 - GKM Colony,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.06,3,2.8,2,0,1,0,0,214,338,464,228,1631,96,92,85,97,46,83,,,
78,Greater Chennai Corporation|78,Ward 78 - Purasawalkam,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.68,3,4.4,3,0,0,0,0,61,1092,877,1261,649,99,73,71,84,78,81,,,
76,Greater Chennai Corporation|76,Ward 76 - CMWSSB Division 76,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.62,6,9.7,2,0,4,0,0,310,775,682,937,425,95,81,77,88,86,85,,,
64,Greater Chennai Corporation|64,Ward 64 - Villivakkam,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.6,10,6.3,0,0,6,0,4,490,1321,417,2300,730,92,67,86,71,76,78,,,
75,Greater Chennai Corporation|75,Ward 75 - Secretariat Colony,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.96,5,5.2,4,0,0,1,0,445,787,604,718,1584,93,80,80,91,47,78,,,
66,Greater Chennai Corporation|66,Ward 66 - CMWSSB Division 66,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.04,5,4.8,5,0,0,0,0,545,1110,1266,1625,1602,91,72,58,80,47,70,,,
73,Greater Chennai Corporation|73,Ward 73 - CMWSSB Division 73,Greater Chennai Corporation,THIRU-VIKA-NAGAR,0.93,6,6.4,1,1,2,0,2,208,592,955,1182,278,97,85,68,85,91,85,,,
72,Greater Chennai Corporation|72,Ward 72 - Pulianthope,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.33,3,2.3,0,1,1,1,0,652,175,661,1004,756,89,96,78,87,75,85,,,
147,Greater Chennai Corporation|147,Ward 147 - Maduravoyal,Greater Chennai Corporation,VALASARVAKKAM,2.06,0,0.0,0,0,0,0,0,1513,1178,910,2089,1370,75,71,70,74,54,69,,,
148,Greater Chennai Corporation|148,Ward 148 - CMWSSB Division 148,Greater Chennai Corporation,VALASARVAKKAM,0.89,1,1.1,0,1,0,0,0,901,223,1101,1399,935,85,94,63,83,69,79,,,
149,Greater Chennai Corporation|149,Ward 149 - CMWSSB Division 149,Greater Chennai Corporation,VALASARVAKKAM,1.43,10,7.0,6,1,0,0,3,256,171,732,765,32,96,96,76,90,99,91,,,
150,Greater Chennai Corporation|150,Ward 150 - Vanagaram,Greater Chennai Corporation,,3.56,16,4.5,5,4,6,0,1,976,477,952,1379,1947,84,88,68,83,35,72,,,
151,Greater Chennai Corporation|151,Ward 151 - CMWSSB Division 151,Greater Chennai Corporation,VALASARVAKKAM,1.68,11,6.6,2,1,5,2,1,358,624,500,904,419,94,84,83,89,86,87,,,
146,Greater Chennai Corporation|146,Ward 146 - Alapakkam,Greater Chennai Corporation,VALASARVAKKAM,1.09,1,0.9,0,0,1,0,0,2040,1729,545,2491,1511,66,57,82,69,50,65,,,
155,Greater Chennai Corporation|155,Ward 155 - Nesapakkam,Greater Chennai Corporation,VALASARVAKKAM,1.56,14,9.0,6,2,4,1,1,298,420,136,590,269,95,90,95,93,91,93,,,
145,Greater Chennai Corporation|145,Ward 145 - Nerkundram,Greater Chennai Corporation,VALASARVAKKAM,1.52,4,2.6,0,1,2,0,1,824,815,781,653,850,86,80,74,92,72,81,,,
154,Greater Chennai Corporation|154,Ward 154 - Ramapuram,Greater Chennai Corporation,VALASARVAKKAM,1.18,8,6.8,2,1,4,0,1,435,77,391,316,230,93,98,87,96,92,93,,,
144,Greater Chennai Corporation|144,Ward 144 - CMWSSB Division 144,Greater Chennai Corporation,VALASARVAKKAM,1.4,3,2.1,1,0,2,0,0,1047,1026,501,1770,1505,83,74,83,78,50,74,,,
153,Greater Chennai Corporation|153,Ward 153 - Porur,Greater Chennai Corporation,VALASARVAKKAM,2.28,5,2.2,0,2,3,0,0,1082,780,834,854,692,82,80,72,89,77,80,,,
152,Greater Chennai Corporation|152,Ward 152 - Valasaravakkam,Greater Chennai Corporation,VALASARVAKKAM,1.61,12,7.4,5,1,3,1,2,164,725,99,831,235,97,82,97,90,92,92,,,
49,Greater Chennai Corporation|49,Ward 49 - Old Washermanpet,Greater Chennai Corporation,ROYAPURAM,0.79,6,7.6,6,0,0,0,0,101,570,569,577,1947,98,86,81,93,35,79,,,
50,Greater Chennai Corporation|50,Ward 50 - Royapuram,Greater Chennai Corporation,ROYAPURAM,1.55,10,6.5,5,4,0,1,0,99,94,617,771,1450,98,98,79,90,52,83,,,
52,Greater Chennai Corporation|52,Ward 52 - CMWSSB Division 52,Greater Chennai Corporation,ROYAPURAM,1.04,13,12.5,4,1,7,1,0,371,513,272,405,923,94,87,91,95,69,87,,,
54,Greater Chennai Corporation|54,Ward 54 - Vallalar Nagar,Greater Chennai Corporation,ROYAPURAM,0.6,23,38.5,13,3,1,0,6,269,133,341,443,325,96,97,89,94,89,93,,,
55,Greater Chennai Corporation|55,Ward 55 - CMWSSB Division 55,Greater Chennai Corporation,ROYAPURAM,0.58,22,38.1,11,4,2,1,4,14,172,431,129,303,100,96,86,98,90,94,,,
56,Greater Chennai Corporation|56,Ward 56 - CMWSSB Division 56,Greater Chennai Corporation,ROYAPURAM,0.57,33,57.9,10,15,2,1,5,145,30,87,115,149,98,99,97,99,95,98,,,
57,Greater Chennai Corporation|57,Ward 57 - George Town,Greater Chennai Corporation,ROYAPURAM,0.91,36,39.4,9,7,3,5,12,47,149,427,429,188,99,96,86,95,94,94,,,
58,Greater Chennai Corporation|58,Ward 58 - Park Town,Greater Chennai Corporation,ROYAPURAM,2.61,26,10.0,10,3,7,3,3,505,605,833,1001,421,92,85,72,87,86,84,,,
59,Greater Chennai Corporation|59,Ward 59 - Island Grounds,Greater Chennai Corporation,ROYAPURAM,2.83,57,20.1,6,4,24,9,14,239,237,71,333,522,96,94,98,96,83,93,,,
60,Greater Chennai Corporation|60,Ward 60 - CMWSSB Division 60,Greater Chennai Corporation,ROYAPURAM,5.17,67,13.0,5,11,15,14,22,550,25,172,303,120,91,99,94,96,96,95,,,
61,Greater Chennai Corporation|61,Ward 61 - Egmore,Greater Chennai Corporation,ROYAPURAM,2.23,50,22.4,12,8,11,6,13,113,86,175,238,110,98,98,94,97,96,97,,,
62,Greater Chennai Corporation|62,Ward 62 - Chintadripet,Greater Chennai Corporation,ROYAPURAM,0.84,21,25.0,5,7,4,4,1,341,206,170,117,194,94,95,94,99,94,95,,,
63,Greater Chennai Corporation|63,Ward 63 - Pudupet,Greater Chennai Corporation,ROYAPURAM,0.97,23,23.7,1,1,14,1,6,307,288,151,382,11,95,93,95,95,100,96,,,
51,Greater Chennai Corporation|51,Ward 51 - CMWSSB Division 51,Greater Chennai Corporation,ROYAPURAM,0.41,1,2.5,1,0,0,0,0,291,525,363,595,1197,95,87,88,93,60,85,,,
53,Greater Chennai Corporation|53,Ward 53 - Moolakothalam,Greater Chennai Corporation,ROYAPURAM,0.86,12,14.0,1,2,6,3,0,599,488,386,337,687,90,88,87,96,77,88,,,
130,Greater Chennai Corporation|130,Ward 130 - CMWSSB Division 130,Greater Chennai Corporation,KODAMBAKKAM,1.21,19,15.7,8,2,6,1,2,209,222,119,417,177,97,94,96,95,94,95,,,
136,Greater Chennai Corporation|136,Ward 136 - CMWSSB Division 131,Greater Chennai Corporation,KODAMBAKKAM,1.2,16,13.3,6,4,4,1,1,386,162,265,227,745,94,96,91,97,75,91,,,
131,Greater Chennai Corporation|131,Ward 131 - CMWSSB Division 133,Greater Chennai Corporation,KODAMBAKKAM,1.05,11,10.5,5,0,2,2,2,143,366,275,271,369,98,91,91,97,88,93,,,
132,Greater Chennai Corporation|132,Ward 132 - Kodambakkam,Greater Chennai Corporation,KODAMBAKKAM,1.1,17,15.4,9,2,1,1,4,200,208,706,662,250,97,95,76,92,92,90,,,
129,Greater Chennai Corporation|129,Ward 129 - SBI Colony,Greater Chennai Corporation,KODAMBAKKAM,1.91,36,18.8,15,9,8,2,2,50,107,122,226,153,99,97,96,97,95,97,,,
