# Per-ward service accessibility for bengaluru. Scores are weighted formulas, NOT machine learning, and a missing input is reported as UNAVAILABLE rather than scored zero.
ward_no,ward_key,ward_name,corporation,zone,area_km2,facilities_total,facility_density_per_km2,counts_healthcare,counts_education,counts_transport,counts_government,counts_daily_life,nearest_m_healthcare,nearest_m_education,nearest_m_transport,nearest_m_government,nearest_m_daily_life,scores_healthcare,scores_education,scores_transport,scores_government,scores_daily_life,infrastructure_score,median_psf,listings,development_pressure
2,South|2,2 - Kadirenahalli,South,Jayanagar,0.66,26,39.6,7,4,7,1,7,190,237,164,401,103,97,94,95,95,97,96,,,
60,North|60,60 - Jalahalli,North,Yelahanka,1.99,16,8.0,0,4,7,1,4,958,455,148,1002,618,84,89,95,87,79,87,6635,46,1.2
14,East|14,14 - K.R Pura,East,K.R. Pura,0.89,25,28.1,11,1,7,5,1,54,317,145,208,122,99,92,95,97,96,96,4266,79,0.6
20,West|20,20 - Kengeri Kote ward,West,Rajarajeshwarinagar,15.31,56,3.7,3,13,34,0,6,1499,732,195,1915,1151,75,82,94,76,62,78,5089,2,0.1
39,South|39,39 - Gottigere,South,Jayanagar,2.07,9,4.3,0,4,4,0,1,507,84,485,1160,896,92,98,84,86,70,86,,,
36,South|36,36 - Beguru,South,Jayanagar,2.9,18,6.2,2,6,7,0,3,378,249,279,1406,518,94,94,91,82,83,89,,,
41,Central|41,41 - V.V Puram,Central,Gandhinagara,1.08,51,47.1,11,9,13,1,17,168,176,253,617,244,97,96,92,92,92,94,9063,2,0.0
35,North|35,35 - Kammanahalli,North,Byatarayanapura,0.52,1,1.9,0,0,1,0,0,503,606,444,1340,475,92,85,85,83,84,86,,,
7,South|7,7 - Byrasandra,South,Jayanagar,1.15,75,65.3,15,10,15,4,31,300,208,310,281,130,95,95,90,96,96,94,,,
8,South|8,8 - Tilak Nagara,South,Jayanagar,1.01,57,56.3,9,15,11,4,18,222,301,198,89,32,96,92,93,99,99,96,8818,16,0.1
63,North|63,63 - J.P PARK,North,Yelahanka,0.84,7,8.4,1,1,2,1,2,256,529,170,141,216,96,87,94,98,93,94,,,
51,Central|51,51 - Old Guddadahalli,Central,Gandhinagara,0.21,4,18.8,3,1,0,0,0,206,168,385,434,391,97,96,87,95,87,92,,,
4,East|4,4 - Babusab Palya,East,K.R. Pura,1.84,38,20.6,10,5,10,1,12,263,437,399,324,255,96,89,87,96,92,92,3861,25,0.4
4,South|4,4 - Banashankari Temple Ward,South,Jayanagar,0.4,7,17.6,2,0,4,1,0,75,367,199,214,340,99,91,93,97,89,94,,,
71,North|71,71 - Nele Maheshwaramma Temple Ward,North,Yelahanka,0.59,6,10.1,2,0,4,0,0,123,546,408,1419,573,98,86,86,82,81,87,,,
45,East|45,45 - Marathahalli,East,Mahadevapura,1.0,27,26.9,8,1,6,1,11,98,389,332,502,99,98,90,89,94,97,94,5434,162,1.9
45,South|45,45 - Konanakunte,South,Jayanagar,1.65,40,24.2,8,3,17,3,9,20,354,24,97,18,100,91,99,99,99,98,,,
13,South|13,13 - Marenahalli South,South,Jayanagar,0.76,24,31.5,3,4,7,1,9,235,322,262,501,284,96,92,91,94,91,93,,,
44,South|44,44 - Harinagar,South,Jayanagar,1.78,28,15.7,1,8,11,0,8,796,211,97,792,254,87,95,97,90,92,92,7745,12,0.2
2,East|2,2 - Horamavu,East,K.R. Pura,7.86,36,4.6,5,10,12,0,9,758,529,495,1291,1242,87,87,84,84,59,80,4781,71,2.8
50,North|50,50 - Dinnur,North,Yelahanka,0.51,5,9.8,1,2,1,0,1,412,205,185,859,483,93,95,94,89,84,91,5621,32,0.6
25,East|25,25 - L.B Shastri Nagar,East,K.R. Pura,0.42,0,0.0,0,0,0,0,0,656,552,643,881,278,89,86,79,89,91,87,5607,3,0.1
66,North|66,66 - Kammagondanahalli,North,Yelahanka,1.4,11,7.9,0,2,5,1,3,1040,295,99,472,85,83,93,97,94,97,93,4000,21,0.3
10,South|10,10 - Abdul Kalam Nagar,South,Jayanagar,0.41,5,12.2,0,1,2,0,2,563,165,295,362,332,91,96,90,95,89,92,,,
45,North|45,45 - Kushal Nagar,North,Byatarayanapura,0.28,6,21.6,0,0,6,0,0,635,678,55,234,788,89,83,98,97,74,88,,,
11,East|11,11 - Krishnanagar,East,K.R. Pura,1.24,8,6.5,2,4,1,0,1,271,475,348,1390,469,95,88,88,83,84,88,,,
43,South|43,43 - Bheereshwara Nagar,South,Jayanagar,0.84,9,10.8,0,3,3,0,3,530,22,269,830,264,91,99,91,90,91,92,,,
3,South|3,3 - Yarab nagar,South,Jayanagar,0.28,4,14.0,0,1,3,0,0,523,240,147,534,490,91,94,95,93,84,91,8750,1,0.0
42,South|42,42 - RBI Layout,South,Jayanagar,2.03,76,37.5,18,13,4,2,39,251,28,59,119,33,96,99,98,99,99,98,,,
1,East|1,1 - K Narayanapura,East,K.R. Pura,4.79,49,10.2,6,13,14,2,14,247,169,182,216,417,96,96,94,97,86,94,4871,84,1.0
39,East|39,39 - Hagaduru,East,Mahadevapura,5.83,26,4.5,4,4,8,1,9,2005,1087,594,2132,821,67,73,80,73,73,73,4374,9,0.5
13,Central|13,13 - Krishnaiahnapalya,Central,C.V. Raman Nagar,1.19,24,20.1,3,1,14,1,5,376,889,299,260,415,94,78,90,97,86,89,7407,3,0.1
1,South|1,1 - Padmanabhanagara,South,Jayanagar,0.9,22,24.4,5,3,8,0,6,90,235,235,506,300,98,94,92,94,90,94,5557,26,0.3
48,South|48,48 - Vasanthapura,South,Jayanagar,1.59,31,19.5,3,7,15,1,5,525,266,277,883,534,91,93,91,89,82,89,,,
6,South|6,6 - Gowdanapalya,South,Jayanagar,0.91,16,17.5,2,1,5,0,8,389,226,422,958,297,94,94,86,88,90,90,,,
63,Central|63,63 - Okalipuram,Central,Gandhinagara,0.43,7,16.4,0,0,5,1,1,281,473,106,430,363,95,88,96,95,88,92,12500,1,0.0
5,South|5,5 - Kane Muneshwara Ward,South,Jayanagar,1.14,42,36.9,7,4,8,2,21,195,245,74,361,61,97,94,98,95,98,96,,,
9,Central|9,9 - Hoysala Nagara Central,Central,C.V. Raman Nagar,1.98,93,46.9,17,15,18,3,40,193,380,169,304,170,97,90,94,96,94,94,4533,8,0.1
52,South|52,52 - Talagattapura,South,Jayanagar,18.16,71,3.9,11,11,40,2,7,941,207,240,197,569,84,95,92,98,81,90,4947,50,1.0
50,South|50,50 - Sarvabhouma Nagar,South,Jayanagar,1.02,12,11.7,0,1,4,0,7,425,396,243,1017,183,93,90,92,87,94,91,4350,31,0.5
25,North|25,25 - Govindapura,North,Byatarayanapura,0.57,4,7.1,1,1,2,0,0,546,536,261,1312,496,91,87,91,84,83,87,,,
53,Central|53,53 - Rayapuram,Central,Gandhinagara,0.21,2,9.5,1,0,0,0,1,90,449,246,281,272,98,89,92,96,91,93,,,
40,South|40,40 - Anjanapura,South,Jayanagar,12.23,46,3.8,4,8,26,2,6,1080,1183,955,1058,842,82,70,68,87,72,76,3521,15,0.7
59,South|59,59 - Vijaya Bank Layout,South,Bommanahalli,4.26,42,9.9,6,10,4,3,19,482,587,441,550,337,92,85,85,93,89,89,,,
41,North|41,41 - Periyar Nagar,North,Byatarayanapura,0.25,1,4.0,0,0,0,1,0,919,1031,441,253,1044,85,74,85,97,65,81,,,
52,Central|52,52 - Padarayanapura,Central,Gandhinagara,0.23,7,30.0,3,1,0,1,2,162,278,415,193,165,97,93,86,98,94,94,,,
46,South|46,46 - Yelachenahalli,South,Jayanagar,0.93,15,16.2,2,1,8,0,4,369,260,344,881,404,94,94,89,89,87,91,5184,16,0.3
59,North|59,59 - Geddalahalli,North,Yelahanka,1.46,32,21.8,1,2,12,3,14,342,394,302,323,275,94,90,90,96,91,92,5740,12,0.2
51,South|51,51 - Subramanyapura,South,Jayanagar,7.74,59,7.6,4,9,27,1,18,1181,225,363,1137,971,80,94,88,86,68,83,5419,64,2.1
35,West|35,35 - Goraguntepalya,West,Rajarajeshwarinagar,2.12,39,18.4,3,2,30,0,4,307,995,362,990,433,95,75,88,88,86,86,,,
28,West|28,28 - Kottegepalya,West,Rajarajeshwarinagar,2.41,22,9.1,0,2,16,1,3,954,549,250,581,570,84,86,92,93,81,87,,,
62,North|62,62 - Brundavana Nagara,North,Yelahanka,0.67,28,41.5,6,2,5,1,14,96,347,146,172,136,98,91,95,98,95,95,7547,7,0.1
5,North|5,5 - Yelahanka Satellite Town,North,Yelahanka,2.92,127,43.5,21,23,13,3,67,226,127,317,201,71,96,97,89,97,98,95,4902,38,0.4
22,West|22,22 - Bangarappa Nagara,West,Rajarajeshwarinagar,6.79,49,7.2,3,11,27,1,7,391,333,336,446,400,93,92,89,94,87,91,6173,1,0.0
49,South|49,49 - Uttarahalli,South,Jayanagar,2.16,26,12.0,6,1,14,1,4,307,820,322,494,429,95,80,89,94,86,89,4000,191,4.1
64,North|64,64 - Yeshwanthpura,North,Yelahanka,0.35,13,36.9,4,2,2,1,4,99,227,256,265,199,98,94,91,97,93,95,5520,77,0.7
37,South|37,37 - Yelenahalli,South,Jayanagar,5.06,36,7.1,3,16,7,0,10,638,309,717,805,444,89,92,76,90,85,86,4321,105,2.9
17,Central|17,17 - Kaggadasapura,Central,C.V. Raman Nagar,1.16,25,21.6,6,4,1,0,14,342,340,390,1010,308,94,92,87,87,90,90,4237,69,1.3
38,South|38,38 - Doddakammanahalli,South,Jayanagar,4.91,28,5.7,3,8,15,2,0,958,35,642,856,737,84,99,79,89,75,85,4528,8,0.2
28,East|28,28 - Byrathi,East,Mahadevapura,5.77,18,3.1,2,8,8,0,0,577,194,415,881,432,90,95,86,89,86,89,4648,11,0.2
41,South|41,41 - Kothanur,South,Jayanagar,3.47,34,9.8,0,13,15,2,4,1257,407,337,558,317,79,90,89,93,89,88,8485,1,0.0
19,East|19,19 - K.S. Nissar Ahmed Ward,East,K.R. Pura,0.84,11,13.1,0,0,7,0,4,338,614,12,783,290,94,85,100,90,90,92,,,
57,North|57,57 - Bhoopasandra,North,Yelahanka,2.65,50,18.8,5,11,20,7,7,521,212,569,612,506,91,95,81,92,83,88,10620,4,0.1
15,South|15,15 - Shakambarinagara,South,Jayanagar,1.73,69,39.8,20,2,18,4,25,122,138,271,556,114,98,97,91,93,96,95,5488,65,0.6
56,North|56,56 - Hebbal,North,Yelahanka,1.1,19,17.3,1,1,7,3,7,245,318,313,386,252,96,92,90,95,92,93,7097,178,2.4
52,North|52,52 - Vishwanatha Nagenahalli,North,Yelahanka,0.97,14,14.4,2,3,3,1,5,356,95,248,453,510,94,98,92,94,83,92,5812,18,0.3
4,Central|4,4 - Sampangirama Nagar,Central,Gandhinagara,4.7,232,49.4,19,23,71,65,54,830,101,103,145,269,86,97,97,98,91,94,8883,4,0.0
10,East|10,10 - Basavanapura,East,K.R. Pura,3.96,14,3.5,3,5,4,0,2,272,672,255,2229,1070,95,83,92,72,64,81,,,
35,South|35,35 - Vishwapriya Nagara,South,Jayanagar,2.34,12,5.1,0,9,1,0,2,646,145,476,1818,468,89,96,84,77,84,86,,,
8,Central|8,8 - Halasuru,Central,Gandhinagara,0.52,29,56.1,5,1,9,3,11,110,185,211,226,139,98,95,93,97,95,96,,,
33,South|33,33 - Naganathapura,South,Jayanagar,3.37,12,3.6,3,6,2,0,1,1054,311,717,1305,1130,82,92,76,84,62,79,,,
49,West|49,49 - Aramane Nagara,West,Malleshwaram,0.88,35,39.8,7,4,3,0,21,303,11,224,526,26,95,100,93,93,99,96,,,
12,Central|12,12 - Kasturi Nagar,Central,C.V. Raman Nagar,3.52,44,12.5,8,7,11,2,16,831,223,317,949,839,86,94,89,88,72,86,5971,20,0.5
79,West|79,79 - Nagarbhavi,West,Malleshwaram,2.19,29,13.2,5,6,11,3,4,630,54,92,187,456,90,99,97,98,85,94,,,
41,East|41,41 - Munnenkolalu,East,Mahadevapura,2.5,45,18.0,14,6,6,0,19,220,277,227,1351,115,96,93,92,83,96,92,,,
34,South|34,34 - Chikkathoguru,South,Jayanagar,5.81,21,3.6,1,12,4,2,2,736,213,669,324,734,88,95,78,96,76,87,,,
6,North|6,6 - Doddabettahalli,North,Yelahanka,5.11,42,8.2,9,3,11,0,19,499,972,501,894,518,92,76,83,89,83,85,4513,4,0.1
55,North|55,55 - Ganganagar,North,Yelahanka,0.75,32,42.8,8,2,10,0,12,128,64,122,254,160,98,98,96,97,95,97,6333,9,0.1
17,East|17,17 - Vijinapura,East,K.R. Pura,0.33,1,3.0,0,1,0,0,0,782,158,433,463,492,87,96,86,94,84,89,,,
49,Central|49,49 - Kasturbha Nagar,Central,Gandhinagara,0.37,1,2.7,0,0,1,0,0,394,957,377,749,407,93,76,87,91,86,87,,,
1,North|1,1 - Raja Kempegowda ward,North,Yelahanka,1.81,42,23.2,18,4,12,3,5,179,69,215,140,196,97,98,93,98,93,96,5013,198,1.5
11,South|11,11 - Jayanagar East,South,Jayanagar,0.46,18,39.1,1,3,4,0,10,393,383,282,499,446,93,90,91,94,85,91,5432,4,0.1
33,Central|33,33 - Dharmaraya Swamy Temple Ward,Central,Gandhinagara,0.77,28,36.6,4,6,6,1,11,227,128,270,335,101,96,97,91,96,97,95,,,
38,Central|38,38 - Kanakanapalya,Central,Gandhinagara,0.97,30,30.8,13,6,6,3,2,189,252,291,354,216,97,94,90,96,93,94,,,
62,Central|62,62 - Swatantra Palya Ward,Central,Gandhinagara,0.36,8,22.2,1,2,5,0,0,385,317,76,411,482,94,92,97,95,84,92,,,
54,North|54,54 - Gangenahalli,North,Yelahanka,1.08,20,18.5,1,0,12,1,6,468,501,205,471,156,92,87,93,94,95,92,,,
14,South|14,14 - J.P Nagar,South,Jayanagar,1.28,60,47.0,8,8,12,0,32,93,165,176,154,122,98,96,94,98,96,96,,,
9,South|9,9 - N.A.L Layout,South,Jayanagar,0.35,13,37.5,1,2,1,3,6,368,160,234,263,133,94,96,92,97,96,95,,,
27,South|27,27 - Sri Lakshmi Devi Ward,South,Bommanahalli,0.73,61,83.8,13,4,10,1,33,126,88,186,502,176,98,98,94,94,94,96,8981,67,0.5
4,North|4,4 - Nyayanga Badavane,North,Yelahanka,2.56,32,12.5,9,4,6,2,11,405,291,205,819,223,93,93,93,90,93,92,,,
65,North|65,65 - Abbigere,North,Yelahanka,4.61,24,5.2,3,4,10,0,7,1141,1336,537,1303,699,81,67,82,84,77,78,,,
18,South|18,18 - Viswamanava Kuvempu Ward,South,Bommanahalli,1.4,86,61.6,19,5,16,2,44,41,150,344,400,41,99,96,89,95,99,96,5556,3,0.0
42,East|42,42 - Priyadarshini Ward,East,Mahadevapura,1.6,61,38.0,24,6,5,3,23,135,197,529,270,131,98,95,82,97,96,94,5754,48,0.6
67,North|67,67 - Shettihalli,North,Yelahanka,3.72,13,3.5,2,0,7,0,4,641,637,868,362,617,89,84,71,95,79,84,,,
21,South|21,21 - Chikka Adugodi,South,Bommanahalli,0.72,18,25.0,4,6,6,0,2,297,197,294,652,369,95,95,90,92,88,92,6250,1,0.0
7,North|7,7 - Attur,North,Yelahanka,2.54,34,13.4,7,9,10,2,6,646,459,103,271,660,89,89,97,97,78,90,3750,7,0.1
19,South|19,19 - New Tavarekere,South,Bommanahalli,0.55,27,49.0,2,8,5,3,9,312,77,115,285,225,95,98,96,96,92,95,,,
70,South|70,70 - Iblur,South,Bommanahalli,2.81,70,24.9,17,8,13,9,23,541,651,538,526,543,91,84,82,93,82,86,,,
61,North|61,61 - HMT Ward,North,Yelahanka,4.19,40,9.5,2,9,18,2,9,561,196,19,398,408,91,95,99,95,86,93,12986,2,0.0
51,North|51,51 - Manorayanapalya,North,Yelahanka,0.53,10,18.7,4,1,1,0,4,117,305,329,1082,284,98,92,89,86,91,91,5000,11,0.2
65,South|65,65 - Garvebavi Palya,South,Bommanahalli,1.28,23,18.0,5,10,5,0,3,268,163,395,1159,513,96,96,87,86,83,90,5282,2,0.0
32,South|32,32 - Kudlu,South,Bommanahalli,3.37,17,5.0,4,3,4,1,5,633,521,886,814,201,89,87,70,90,93,86,4284,35,1.0
25,South|25,25 - National Games Village,South,Bommanahalli,0.52,24,46.4,1,4,8,5,6,277,265,180,124,153,95,93,94,98,95,95,,,
16,North|16,16 - Amruthahalli,North,Byatarayanapura,1.32,12,9.1,4,1,4,1,2,127,382,274,528,361,98,90,91,93,88,92,4768,22,0.3
22,South|22,22 - S.G Palya,South,Bommanahalli,1.25,31,24.9,2,11,8,1,9,617,99,341,596,271,90,98,89,93,91,92,,,
32,North|32,32 - Banaswadi,North,Byatarayanapura,2.03,62,30.6,14,5,19,2,22,252,365,177,813,134,96,91,94,90,96,93,5159,16,0.2
36,Central|36,36 - Someshwara Nagara,Central,Gandhinagara,0.62,30,48.5,11,7,3,1,8,287,56,258,596,106,95,99,91,93,96,95,3689,1,0.0
12,South|12,12 - Pattabhirama Nagara,South,Jayanagar,1.5,88,58.5,13,10,27,3,35,221,422,233,339,108,96,89,92,96,96,94,,,
49,North|49,49 - Jaya Chamarajendra Nagara,North,Yelahanka,0.67,16,24.0,3,0,8,1,4,286,896,209,856,625,95,78,93,89,79,87,,,
71,South|71,71 - Agara,South,Bommanahalli,1.87,69,37.0,13,7,14,2,33,287,119,195,490,117,95,97,94,94,96,95,,,
23,South|23,23 - Lakkasandra,South,Bommanahalli,0.69,19,27.5,1,1,10,0,7,219,176,85,210,37,96,96,97,97,99,97,,,
27,Central|27,27 - Ambedkarnagar,Central,C.V. Raman Nagar,0.39,19,48.3,4,8,5,1,1,27,20,214,295,367,100,100,93,96,88,95,6564,30,0.3
13,North|13,13 - Kodigehalli,North,Byatarayanapura,1.35,16,11.8,1,1,8,0,6,536,474,412,1068,441,91,88,86,87,85,87,4561,4,0.1
33,West|33,33 - Lakshmi Devi Nagar,West,Rajarajeshwarinagar,0.53,11,20.9,0,0,8,0,3,887,952,57,923,117,85,76,98,88,96,89,,,
37,North|37,37 - Jeevanahalli,North,Byatarayanapura,1.53,13,8.5,2,1,4,0,6,495,658,534,947,470,92,84,82,88,84,86,2917,1,0.0
31,South|31,31 - Kasavanahalli,South,Bommanahalli,7.72,66,8.5,22,8,7,1,28,594,416,808,1630,529,90,90,73,80,82,83,6152,202,6.7
39,North|39,39 - Kaval Byrasandra,North,Byatarayanapura,0.73,5,6.8,2,0,2,0,1,250,682,231,1079,276,96,83,92,87,91,90,5129,20,0.4
17,South|17,17 - N.S Palya,South,Bommanahalli,0.73,25,34.5,7,9,3,2,4,74,105,129,402,129,99,97,96,95,96,97,,,
55,South|55,55 - Puttenahalli,South,Bommanahalli,1.04,22,21.1,3,4,4,0,11,230,275,336,877,124,96,93,89,89,96,93,13704,7,0.1
56,South|56,56 - Doresanipalya,South,Bommanahalli,2.53,45,17.8,5,7,12,3,18,368,273,179,235,178,94,93,94,97,94,94,5106,16,0.2
42,North|42,42 - Aruna Asif Ali Ward,North,Byatarayanapura,0.36,0,0.0,0,0,0,0,0,721,1115,545,564,919,88,72,82,93,69,81,,,
53,North|53,53 - R.T Nagar,North,Yelahanka,0.63,18,28.5,6,4,2,2,4,158,244,307,432,213,97,94,90,95,93,94,7893,2,0.0
47,North|47,47 - Pulakeshi Nagar,North,Byatarayanapura,1.3,87,66.8,13,17,19,4,34,119,310,29,201,54,98,92,99,97,98,97,9927,39,0.2
15,North|15,15 - Byatarayanapura,North,Byatarayanapura,5.12,95,18.6,21,8,14,5,47,135,155,79,172,62,98,96,97,98,98,97,6374,20,0.1
28,South|28,28 - Kormangala East,South,Bommanahalli,2.3,119,51.8,24,15,23,3,54,267,637,274,860,69,96,84,91,89,98,92,20741,1,0.0
46,North|46,46 - Sagayapuram,North,Byatarayanapura,0.66,20,30.1,4,1,8,0,7,319,393,309,516,386,95,90,90,94,87,91,10625,7,0.1
24,North|24,24 - HBR Layout,North,Byatarayanapura,1.79,37,20.6,7,6,7,1,16,87,64,109,647,64,99,98,96,92,98,97,4622,61,0.4
48,North|48,48 - S.K Garden,North,Byatarayanapura,0.99,17,17.1,6,0,3,1,7,98,165,161,237,95,98,96,95,97,97,97,9459,1,0.0
14,North|14,14 - Rajiv Gandhi Nagar,North,Byatarayanapura,2.9,24,8.3,6,3,7,0,8,805,534,745,1057,849,87,87,75,87,72,82,6051,34,1.2
28,North|28,28 - Venkateshpuram,North,Byatarayanapura,0.37,1,2.7,0,0,1,0,0,634,356,249,635,871,89,91,92,92,71,87,,,
36,North|36,36 - Maruthi Seva Nagara,North,Byatarayanapura,1.21,48,39.8,15,5,7,0,21,170,241,364,628,195,97,94,88,92,94,93,8984,31,0.4
50,Central|50,50 - JJR Nagara,Central,Gandhinagara,0.54,13,24.3,2,1,5,0,5,319,281,125,445,263,95,93,96,94,91,94,,,
64,South|64,64 - Hongasandra,South,Bommanahalli,0.5,9,18.0,1,4,3,0,1,167,243,112,1082,120,97,94,96,86,96,94,,,
66,South|66,66 - Singasandra,South,Bommanahalli,1.87,31,16.6,13,2,5,0,11,453,238,263,660,66,92,94,91,92,98,93,,,
67,South|67,67 - Bandepalya,South,Bommanahalli,1.77,15,8.5,2,4,5,0,4,211,328,263,715,454,96,92,91,91,85,91,4514,23,0.4
38,North|38,38 - Shampura,North,Byatarayanapura,0.87,18,20.6,7,1,3,0,7,306,660,164,1066,178,95,84,95,87,94,91,4708,12,0.2
22,North|22,22 - Nagavara,North,Byatarayanapura,0.97,12,12.4,0,2,7,0,3,694,213,373,1059,349,88,95,88,87,88,89,4686,8,0.2
23,North|23,23 - Hennur,North,Byatarayanapura,1.94,22,11.3,5,7,8,0,2,775,679,712,1274,835,87,83,76,84,72,80,4696,15,0.6
34,Central|34,34 - D.V Gundappa Ward,Central,Gandhinagara,0.72,14,19.6,3,3,6,0,2,183,390,371,361,89,97,90,88,95,97,93,,,
26,South|26,26 - Ejipura,South,Bommanahalli,0.51,17,33.3,2,6,4,1,4,244,204,209,464,388,96,95,93,94,87,93,6198,7,0.1
44,North|44,44 - Doddanna Nagar,North,Byatarayanapura,0.46,2,4.4,0,0,2,0,0,732,1020,510,562,780,88,74,83,93,74,82,,,
8,North|8,8 - Singapura,North,Byatarayanapura,2.46,36,14.7,5,3,12,2,14,232,524,85,1403,333,96,87,97,82,89,90,4781,35,0.7
10,Central|10,10 - Cox Town,Central,C.V. Raman Nagar,1.25,23,18.4,3,3,7,3,7,209,268,216,457,187,97,93,93,94,94,94,7600,11,0.1
72,South|72,72 - HSR Layout,South,Bommanahalli,2.68,76,28.4,12,8,24,4,28,112,197,353,328,45,98,95,88,96,98,95,4480,3,0.0
65,West|65,65 - Manjunath Nagara,West,Malleshwaram,0.29,14,48.9,0,2,3,0,9,186,115,132,395,119,97,97,96,95,96,96,,,
10,North|10,10 - Vidyaranyapura,North,Byatarayanapura,1.76,35,19.9,3,5,8,1,18,417,453,338,350,288,93,89,89,96,90,91,,,
61,South|61,61 - Kodi Chikkanahalli,South,Bommanahalli,1.13,11,9.7,3,2,4,0,2,580,153,753,1011,228,90,96,75,87,92,88,4476,70,1.6
60,South|60,60 - Bilekahalli,South,Bommanahalli,2.49,30,12.0,7,9,3,0,11,382,198,401,449,290,94,95,87,94,90,92,5731,16,0.2
29,North|29,29 - Lingarajpura,North,Byatarayanapura,0.93,7,7.5,0,1,6,0,0,592,409,229,830,842,90,90,92,90,72,87,,,
33,North|33,33 - HRBR Layout,North,Byatarayanapura,0.75,11,14.8,6,1,3,0,1,78,322,161,814,153,99,92,95,90,95,94,6708,10,0.1
30,North|30,30 - Kacharakanahalli,North,Byatarayanapura,1.42,54,37.9,7,10,18,1,18,226,75,330,515,341,96,98,89,94,89,93,4853,6,0.1
30,Central|30,30 - Vinayakanagar,Central,C.V. Raman Nagar,1.28,16,12.5,0,7,9,0,0,344,461,194,858,400,94,88,94,89,87,90,4267,1,0.0
66,West|66,66 - Sane Guruvana Halli,West,Malleshwaram,0.35,9,25.4,1,2,2,1,3,45,278,99,159,63,99,93,97,98,98,97,,,
53,South|53,53 - Jaraganahalli,South,Bommanahalli,0.86,16,18.5,0,5,9,0,2,778,202,292,1075,356,87,95,90,87,88,89,,,
24,South|24,24 - A Adugodi,South,Bommanahalli,1.75,67,38.4,11,14,11,2,29,496,203,361,553,443,92,95,88,93,85,91,5412,1,0.0
77,West|77,77 - Maruthi Mandira Ward,West,Malleshwaram,0.55,21,37.9,4,0,3,2,12,195,446,143,208,208,97,89,95,97,93,94,6635,36,0.4
71,West|71,71 - Thimmenahalli,West,Malleshwaram,0.7,24,34.5,11,1,4,2,6,168,136,199,202,261,97,97,93,97,91,95,5536,22,0.2
31,Central|31,31 - Shanthinagar,Central,C.V. Raman Nagar,1.55,54,34.9,5,14,12,3,20,468,126,502,285,198,92,97,83,96,93,92,9916,14,0.2
29,South|29,29 - Kormangala West,South,Bommanahalli,2.46,72,29.3,6,8,26,6,26,173,303,344,345,141,97,92,89,96,95,94,,,
54,South|54,54 - Kengal Hanumanthaiah South,South,Bommanahalli,0.84,29,34.6,6,6,2,0,15,316,238,323,522,142,95,94,89,93,95,93,,,
