# 200 GCC wards. place_name and ward_name_local are DERIVED from OpenStreetMap localities, not official GCC ward names; 129/200 carry a Tamil name and the rest are deliberately blank. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
ward_no,ward_name,place_name,place_name_local,place_name_source,ward_name_kn,ward_name_local,ward_name_local_lang,ward_name_local_source,corporation,corporation_kn,zone,zone_code,region,zone_source,division,sub_division,assembly,population_total,population_status,geometry_type,centroid_lng,centroid_lat,vertex_count
176,Ward 176 - Adambakkam,Adambakkam,ஆதம்பாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 176 - ஆதம்பாக்கம்,வார்டு 176 - ஆதம்பாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.21459,12.978443,237
175,Ward 175 - Dr Ambedkar Nagar,Dr Ambedkar Nagar,டாக்டர் அம்பேத்கர் நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 175 - டாக்டர் அம்பேத்கர் நகர்,வார்டு 175 - டாக்டர் அம்பேத்கர் நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.209671,12.989511,445
180,Ward 180 - Devendra Nagar,Devendra Nagar,தேவேந்திர நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 180 - தேவேந்திர நகர்,வார்டு 180 - தேவேந்திர நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.258748,12.980726,345
193,Ward 193 - Srinivasa Nagar,Srinivasa Nagar,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.239628,12.949069,96
198,Ward 198 - Karapakkam,Karapakkam,காரப்பாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 198 - காரப்பாக்கம்,வார்டு 198 - காரப்பாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.230404,12.91101,146
199,Ward 199 - Sholinganallur,Sholinganallur,சோழிங்கநல்லூர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 199 - சோழிங்கநல்லூர்,வார்டு 199 - சோழிங்கநல்லூர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.225185,12.889557,163
192,Ward 192 - Neelankarai,Neelankarai,நீலாங்கரை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 192 - நீலாங்கரை,வார்டு 192 - நீலாங்கரை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.254644,12.9478,89
200,Ward 200 - CMWSSB Division 200,CMWSSB Division 200,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.225589,12.872333,132
194,Ward 194 - Injambakkam,Injambakkam,ஈஞ்சம்பாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 194 - ஈஞ்சம்பாக்கம்,வார்டு 194 - ஈஞ்சம்பாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.250861,12.926132,150
197,Ward 197 - Uthandi,Uthandi,உத்தண்டி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 197 - உத்தண்டி,வார்டு 197 - உத்தண்டி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Shozhanganallur,XV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.247391,12.899795,117
185,Ward 185 - Ullagaram,Ullagaram,உல்லகரம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 185 - உல்லகரம்,வார்டு 185 - உல்லகரம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.193578,12.977441,213
186,Ward 186 - Puzhuthivakkam,Puzhuthivakkam,புழுதிவாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 186 - புழுதிவாக்கம்,வார்டு 186 - புழுதிவாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.198542,12.972152,199
184,Ward 184 - CMWSSB Division 186,CMWSSB Division 186,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.236945,12.967232,309
181,Ward 181 - Kottivakkam,Kottivakkam,கொட்டிவாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 181 - கொட்டிவாக்கம்,வார்டு 181 - கொட்டிவாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.255345,12.975242,287
183,Ward 183 - Palavakkam,Palavakkam,பாலவாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 183 - பாலவாக்கம்,வார்டு 183 - பாலவாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.252914,12.962567,80
189,Ward 189 - Pallikaranai,Pallikaranai,பள்ளிக்கரணை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 189 - பள்ளிக்கரணை,வார்டு 189 - பள்ளிக்கரணை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.21244,12.941709,425
190,Ward 190 - CMWSSB Division 190,CMWSSB Division 190,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.202605,12.930663,299
191,Ward 191 - Jayachandran Nagar,Jayachandran Nagar,ஜெயச்சந்திரன் நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 191 - ஜெயச்சந்திரன் நகர்,வார்டு 191 - ஜெயச்சந்திரன் நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.206299,12.9218,108
182,Ward 182 - Perungudi,Perungudi,பெருங்குடி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 182 - பெருங்குடி,வார்டு 182 - பெருங்குடி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Perunkudi,XIV,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.244037,12.970653,440
126,Ward 126 - Mandaveli,Mandaveli,மந்தைவெளி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 126 - மந்தைவெளி,வார்டு 126 - மந்தைவெளி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.268002,13.027092,440
125,Ward 125 - Santhome,Santhome,சாந்தோம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 125 - சாந்தோம்,வார்டு 125 - சாந்தோம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.274439,13.036605,482
115,Ward 115 - Royapettah,Royapettah,ராயப்பேட்டை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 115 - ராயப்பேட்டை,வார்டு 115 - ராயப்பேட்டை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.267509,13.056068,315
116,Ward 116 - Mattankuppam,Mattankuppam,மட்டன்குப்பம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 116 - மட்டன்குப்பம்,வார்டு 116 - மட்டன்குப்பம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,MultiPolygon,80.277223,13.054461,216
114,Ward 114 - Triplicane,Triplicane,திருவல்லிக்கேணி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 114 - திருவல்லிக்கேணி,வார்டு 114 - திருவல்லிக்கேணி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.27462,13.062079,400
124,Ward 124 - Mylapore,Mylapore,மயிலாப்பூர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 124 - மயிலாப்பூர்,வார்டு 124 - மயிலாப்பூர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.269698,13.034251,639
113,Ward 113 - Gemini,Gemini,ஜெமினி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 113 - ஜெமினி,வார்டு 113 - ஜெமினி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.241213,13.054984,388
123,Ward 123 - Alwarpet,Alwarpet,ஆழ்வார்பேட்டை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 123 - ஆழ்வார்பேட்டை,வார்டு 123 - ஆழ்வார்பேட்டை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.256215,13.03436,660
112,Ward 112 - Trustpuram,Trustpuram,டிரஸ்ட் புரம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 112 - டிரஸ்ட் புரம்,வார்டு 112 - டிரஸ்ட் புரம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.224173,13.057332,528
122,Ward 122 - Nandanam,Nandanam,நந்தனம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 122 - நந்தனம்,வார்டு 122 - நந்தனம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.248896,13.0314,474
121,Ward 121 - CMWSSB Division 121,CMWSSB Division 121,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.271798,13.044088,534
120,Ward 120 - Lloyds Colony,Lloyds Colony,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.275847,13.049124,286
109,Ward 109 - CMWSSB Division 112,CMWSSB Division 112,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.226394,13.064165,410
119,Ward 119 - CIT Colony,CIT Colony,சி ஐ டி காலனி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 119 - சி ஐ டி காலனி,வார்டு 119 - சி ஐ டி காலனி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.263609,13.046097,660
118,Ward 118 - Teynampet,Teynampet,தேனாம்பேட்டை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 118 - தேனாம்பேட்டை,வார்டு 118 - தேனாம்பேட்டை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Teynampet,IX,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.253595,13.045339,188
117,Ward 117 - CMWSSB Division 117,CMWSSB Division 117,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Kodambakkam,X,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.242652,13.042938,647
108,Ward 108 - Chetpet,Chetpet,சேத்துப்பட்டு,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 108 - சேத்துப்பட்டு,வார்டு 108 - சேத்துப்பட்டு,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.238623,13.071892,267
106,Ward 106 - NGO Colony,NGO Colony,என்.ஜி.ஓ. காலனி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 106 - என்.ஜி.ஓ. காலனி,வார்டு 106 - என்.ஜி.ஓ. காலனி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.2175,13.062805,500
107,Ward 107 - Aminjikarai,Aminjikarai,அமைந்தக்கரை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 107 - அமைந்தக்கரை,வார்டு 107 - அமைந்தக்கரை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.221633,13.069827,460
105,Ward 105 - Arumbakkam,Arumbakkam,அரும்பாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 105 - அரும்பாக்கம்,வார்டு 105 - அரும்பாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.210469,13.070549,574
104,Ward 104 - Malar Colony,Malar Colony,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.201066,13.089567,536
99,Ward 99 - CMWSSB Division 104,CMWSSB Division 104,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.251015,13.08449,460
98,Ward 98 - Ayanavaram,Ayanavaram,அயனாவரம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 98 - அயனாவரம்,வார்டு 98 - அயனாவரம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.236492,13.092796,579
100,Ward 100 - Kilpauk,Kilpauk,கீழ்ப்பாக்கம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 100 - கீழ்ப்பாக்கம்,வார்டு 100 - கீழ்ப்பாக்கம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.237643,13.082502,380
97,Ward 97 - CMWSSB Division 97,CMWSSB Division 97,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.228985,13.095046,382
101,Ward 101 - Shenoy Nagar,Shenoy Nagar,ஷெனாய் நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 101 - ஷெனாய் நகர்,வார்டு 101 - ஷெனாய் நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,MultiPolygon,80.227525,13.082186,521
96,Ward 96 - ICF Colony,ICF Colony,,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,,,,,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Anna Nagar,VIII,Central,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,MultiPolygon,80.227386,13.100328,440
