# 369 GBA wards. WARNING: _raw_tot_p is the source population field and sums to ~6x the real Greater Bengaluru total, with 125/369 rows failing male+female=total. Do NOT use it as population. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
ward_no,ward_name,ward_name_kn,corporation,corporation_kn,corporation_id,zone,division,sub_division,assembly,assembly_no,population_total,population_status,population_note,_raw_tot_p,_raw_tot_m,_raw_tot_f,_raw_sc_p,_raw_st_p,zone_csv,geometry_type,centroid_lng,centroid_lat,vertex_count
16,16 - Kotthur,ಕೊತ್ತೂರು,East,ಪೂರ್ವ,3,K.R. Pura,RO- Ramamurthy Nagara,ARO- Ramamurthy Nagara,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,146530,75080,71450,30840,2430,Jayanagar,Polygon,77.675815,13.007692,128
69,69 - Bagalagunte,ಬಾಗಲಗುಂಟೆ,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Bagalagunte,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,286850,149760,137090,14220,7940,Bommanahalli,Polygon,77.501146,13.059579,155
34,34 - Subbayanapalya,ಸುಬ್ಬಯ್ಯನಪಾಳ್ಯ,North,ಉತ್ತರ,2,Byatarayanapura,RO- Maruthi Sevanagar,ARO- Kammanahalli,160 - Sarvagnanagar,160,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,221750,113100,108650,28430,4690,Jayanagar,Polygon,77.640052,13.007652,110
68,68 - Mallasandra,ಮಲ್ಲಸಂದ್ರ,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Bagalagunte,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,268900,141800,127100,40410,6680,Bommanahalli,Polygon,77.513772,13.056707,173
70,70 - Manjunatha Nagar,ಮಂಜುನಾಥ ನಗರ,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Bagalagunte,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,278700,145520,133190,19440,9870,Bommanahalli,Polygon,77.500022,13.05174,174
2,2 - Kadirenahalli,ಕದಿರೇನಹಳ್ಳಿ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Padmanabhanagara,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,199370,101250,98120,8160,4010,Jayanagar,Polygon,77.560974,12.917294,70
60,60 - Jalahalli,ಜಾಲಹಳ್ಳಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Jalahalli,ARO- Jalahalli,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,234000,119020,114980,70430,11290,Bommanahalli,Polygon,77.536702,13.048147,191
14,14 - K.R Pura,ಕೆ ಆರ್ ಪುರ,East,ಪೂರ್ವ,3,K.R. Pura,RO- KR Pura,ARO- KR Pura,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,149300,77170,72130,15600,3510,Jayanagar,Polygon,77.697433,13.011597,68
20,20 - Kengeri Kote ward,ಕೆಂಗೇರಿ ಕೋಟೆ ವಾರ್ಡ್,West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,RO- Kengeri,ARO- Hemmigepura,153 - Yeshwanthapura,153,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,193390,98410,94990,20480,3360,Bommanahalli,Polygon,77.487122,12.894152,834
39,39 - Gottigere,ಗೊಟ್ಟಿಗೆರೆ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Beguru,ARO- Gottigere,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,218390,111800,106590,27950,2520,Jayanagar,Polygon,77.582085,12.8486,114
36,36 - Beguru,ಬೇಗೂರು,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Beguru,ARO- Beguru,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,186050,96150,88800,13030,1960,Jayanagar,Polygon,77.621978,12.880034,292
41,41 - V.V Puram,ವಿ.ವಿ. ಪುರಂ,Central,ಕೇಂದ್ರ,1,Gandhinagara,RO - Chickpet,ARO- V.V Puram,169 - Chickpet,169,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,198130,99650,98480,12710,4810,Jayanagar,Polygon,77.577626,12.949091,57
35,35 - Kammanahalli,ಕಮ್ಮನಹಳ್ಳಿ,North,ಉತ್ತರ,2,Byatarayanapura,RO- Maruthi Sevanagar,ARO- Kammanahalli,160 - Sarvagnanagar,160,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,266460,134480,131980,70310,9290,Jayanagar,Polygon,77.632176,13.007097,71
7,7 - Byrasandra,ಬೈರಸಂದ್ರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Jayanagar,ARO- Byrasandra,173 - Jayanagar,173,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,211080,105100,105980,28130,2250,Jayanagar,Polygon,77.586705,12.931958,294
8,8 - Tilak Nagara,ತಿಲಕ ನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Jayanagar,ARO- Byrasandra,173 - Jayanagar,173,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,256250,130080,126170,27690,2620,Jayanagar,Polygon,77.591368,12.928558,160
63,63 - J.P PARK,ಜೆಪಿ ಪಾರ್ಕ್,North,ಉತ್ತರ,2,Yelahanka,RO- Jalahalli,ARO- Yeshwanthpura,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,221720,113930,107790,31390,3900,Bommanahalli,Polygon,77.552652,13.032061,215
51,51 - Old Guddadahalli,ಹಳೆ ಗುಡ್ಡದಹಳ್ಳಿ,Central,ಕೇಂದ್ರ,1,Gandhinagara,RO - Chamrajapet,ARO- JJR Nagar,168 - Chamrajapet,168,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,252280,129650,122630,7390,430,Jayanagar,Polygon,77.546362,12.962523,242
4,4 - Babusab Palya,ಬಾಬುಸಾಬ್ ಪಾಳ್ಯ,East,ಪೂರ್ವ,3,K.R. Pura,RO- Horamavu,ARO- Chellakere,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,193610,99330,94280,18990,2380,Jayanagar,Polygon,77.653214,13.023483,112
4,4 - Banashankari Temple Ward,ಬನಶಂಕರಿ ದೇವಸ್ಥಾನ ವಾರ್ಡ್,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Banashankari,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,225490,115250,110240,13340,8140,Jayanagar,Polygon,77.571698,12.912215,121
71,71 - Nele Maheshwaramma Temple Ward,ನೆಲೆ ಮಹೇಶ್ವರಮ್ಮ ದೇವಸ್ಥಾನ ವಾರ್ಡ್,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Dasarahalli,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,270330,146100,124230,9700,5680,Bommanahalli,Polygon,77.510338,13.048052,108
45,45 - Marathahalli,ಮಾರತಹಳ್ಳಿ,East,ಪೂರ್ವ,3,Mahadevapura,RO- Marathahalli,ARO- Marathahalli,174 - Mahadevapura,174,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,178230,104960,73270,12500,1880,Jayanagar,Polygon,77.697168,12.954425,101
45,45 - Konanakunte,ಕೋಣನಕುಂಟೆ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Konanakunte,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,205250,106040,99210,15900,1930,Jayanagar,Polygon,77.566086,12.882682,171
13,13 - Marenahalli South,ಮಾರೇನಹಳ್ಳಿ ದಕ್ಷಿಣ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- JP Nagar,ARO- JP Nagar,173 - Jayanagar,173,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,234580,121510,113070,43260,4070,Jayanagar,Polygon,77.591102,12.914726,103
44,44 - Harinagar,ಹರಿನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Konanakunte,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,218930,112910,106010,15090,2170,Jayanagar,Polygon,77.573712,12.875191,136
2,2 - Horamavu,ಹೊರಮಾವು,East,ಪೂರ್ವ,3,K.R. Pura,RO- Horamavu,ARO- Horamavu,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,147560,77290,70270,21230,2070,Jayanagar,Polygon,77.65769,13.052007,729
50,50 - Dinnur,ದಿಣ್ಣೂರು,North,ಉತ್ತರ,2,Yelahanka,RO- R.T Nagar,ARO- R.T Nagar,158 - Hebbal,158,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,273950,142740,131110,16900,3570,Jayanagar,Polygon,77.599941,13.028753,334
25,25 - L.B Shastri Nagar,ಎಲ್.ಬಿ.ಶಾಸ್ತ್ರಿ ನಗರ,East,ಪೂರ್ವ,3,K.R. Pura,RO- Vignananagara,ARO- Vignananagara,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,149460,78370,71090,7730,3090,Bommanahalli,Polygon,77.671788,12.965998,62
66,66 - Kammagondanahalli,ಕಮ್ಮಗೊಂಡನಹಳ್ಳಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Shetty Halli,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,205420,108680,96740,35150,4980,Bommanahalli,Polygon,77.529697,13.067883,186
10,10 - Abdul Kalam Nagar,ಅಬ್ದುಲ್ ಕಲಾಂ ನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Jayanagar,ARO- NAL Layout,173 - Jayanagar,173,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,231240,118650,112590,15060,2170,Jayanagar,Polygon,77.603094,12.923158,150
45,45 - Kushal Nagar,ಕುಶಾಲ್ ನಗರ,North,ಉತ್ತರ,2,Byatarayanapura,RO- Pulikeshinagar,ARO - Kushal Nagar,159 - Pulakeshinagar,159,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,199540,101060,97880,29130,5690,Jayanagar,Polygon,77.615236,13.011146,79
11,11 - Krishnanagar,ಕೃಷ್ಣನಗರ,East,ಪೂರ್ವ,3,K.R. Pura,RO- KR Pura,ARO- Basavanapura,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,160000,82560,77440,25480,2840,Jayanagar,Polygon,77.712097,13.00661,220
43,43 - Bheereshwara Nagar,ಭೀರೇಶ್ವರ ನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Beguru,ARO- Bheereshwara Nagara,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,269500,141260,128240,13370,2450,Jayanagar,Polygon,77.573069,12.889931,134
3,3 - Yarab nagar,ಯಾರಬ್ ನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Padmanabhanagara,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,208320,106110,102210,21120,7210,Jayanagar,Polygon,77.567975,12.916085,77
42,42 - RBI Layout,ಆರ್‌ಬಿಐ ಲೇಔಟ್,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Beguru,ARO- Bheereshwara Nagara,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,225690,113950,111740,2750,2160,Jayanagar,Polygon,77.58168,12.8875,212
1,1 - K Narayanapura,ಕೆ ನಾರಾಯಣಪುರ,East,ಪೂರ್ವ,3,K.R. Pura,RO- Horamavu,ARO- Horamavu,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,150030,78040,71990,14130,3160,Jayanagar,Polygon,77.643832,13.062085,547
39,39 - Hagaduru,ಹಗದೂರು,East,ಪೂರ್ವ,3,Mahadevapura,RO- Hoodi,ARO- Whitefield,174 - Mahadevapura,174,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,151050,79360,71690,12750,2810,Jayanagar,Polygon,77.768491,12.966396,548
13,13 - Krishnaiahnapalya,ಕೃಷ್ಣಯ್ಯನ ಪಾಳ್ಯ,Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,RO- Indiranagar,ARO- Kasturi Nagar,161 - C.V. Raman Nagar,161,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,193020,107440,85580,31040,7060,Jayanagar,Polygon,77.655502,12.993238,133
1,1 - Padmanabhanagara,ಪದ್ಮನಾಭನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Padmanabhanagara,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,234190,117810,116380,3430,1170,Jayanagar,Polygon,77.554303,12.9155,268
48,48 - Vasanthapura,ವಸಂತಪುರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Konanakunte,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,228300,119870,108430,29720,4990,Jayanagar,Polygon,77.55587,12.891542,190
6,6 - Gowdanapalya,ಗೌಡನಪಾಳ್ಯ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Banashankari,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,246910,129070,117840,18080,1450,Jayanagar,Polygon,77.554358,12.9071,255
63,63 - Okalipuram,ಓಕಳಿಪುರಂ,Central,ಕೇಂದ್ರ,1,Gandhinagara,RO - Gandhinagara,ARO- Okalipuram,164 - Gandhinagara,164,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,278150,142220,135930,39760,2450,Bommanahalli,Polygon,77.562798,12.986621,178
5,5 - Kane Muneshwara Ward,ಕಾನೆ ಮುನೇಶ್ವರ ವಾರ್ಡ್,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Padmanabhanagara,ARO- Banashankari,171 - Padmanabanagar,171,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,220220,114000,106220,12400,2030,Jayanagar,Polygon,77.561728,12.902071,194
9,9 - Hoysala Nagara Central,ಹೊಯ್ಸಳ ನಗರ ಕೇಂದ್ರ,Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,RO- Indiranagar,ARO- Indiranagar,161 - C.V. Raman Nagar,161,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,277980,137200,140780,112110,3840,Jayanagar,Polygon,77.632082,12.979696,204
52,52 - Talagattapura,ತಲಘಟ್ಟಪುರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Anjanapura,153 - Yeshwanthapura,153,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,237970,118870,106200,31350,4010,Jayanagar,Polygon,77.534654,12.868173,1066
50,50 - Sarvabhouma Nagar,ಸಾರ್ವಭೌಮ ನಗರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Uttarahalli,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,252560,130490,122070,12540,5720,Jayanagar,Polygon,77.548354,12.912541,286
25,25 - Govindapura,ಗೋವಿಂದಪುರ,North,ಉತ್ತರ,2,Byatarayanapura,RO- HBR Layout,ARO- K.G Halli,160 - Sarvagnanagar,160,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,214320,109350,104970,14520,1240,Bommanahalli,Polygon,77.616,13.031176,167
53,53 - Rayapuram,ರಾಯಪುರಂ,Central,ಕೇಂದ್ರ,1,Gandhinagara,RO - Chamrajapet,ARO- Padarayanapura,168 - Chamrajapet,168,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,234380,118370,116010,126020,2870,Bommanahalli,Polygon,77.555183,12.966885,302
40,40 - Anjanapura,ಅಂಜನಾಪುರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Anjanapura,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,238650,125340,113310,28580,3520,Jayanagar,Polygon,77.552327,12.865705,1007
59,59 - Vijaya Bank Layout,ವಿಜಯ ಬ್ಯಾಂಕ್ ಲೇಔಟ್,South,ದಕ್ಷಿಣ,4,Bommanahalli,RO- Arakere,ARO- Bilekanahalli,175 - Bommanahalli,175,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,277870,147610,130250,24260,3190,Bommanahalli,Polygon,77.61071,12.880187,515
41,41 - Periyar Nagar,ಪೆರಿಯಾರ್ ನಗರ,North,ಉತ್ತರ,2,Byatarayanapura,RO- Pulikeshinagar,ARO - Kushal Nagar,159 - Pulakeshinagar,159,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,199630,99990,96640,35410,790,Jayanagar,Polygon,77.612397,13.013586,77
52,52 - Padarayanapura,ಪಾದರಾಯನಪುರ,Central,ಕೇಂದ್ರ,1,Gandhinagara,RO - Chamrajapet,ARO- Padarayanapura,168 - Chamrajapet,168,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,258330,133120,125210,3640,1280,Jayanagar,Polygon,77.551088,12.96548,238
46,46 - Yelachenahalli,ಯೆಲಚೇನಹಳ್ಳಿ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Yelachenahalli,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,239530,124870,114660,10400,2360,Jayanagar,Polygon,77.569338,12.900185,200
59,59 - Geddalahalli,ಗೆದ್ದಲಹಳ್ಳಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Hebbal,ARO- Nagashettyhalli,158 - Hebbal,158,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,233310,120210,113090,28330,5330,Bommanahalli,Polygon,77.572928,13.033817,396
51,51 - Subramanyapura,ಸುಬ್ರಹ್ಮಣ್ಯಪುರ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Uttarahalli,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,273040,141340,131700,27150,4330,Jayanagar,Polygon,77.532697,12.900999,689
35,35 - Goraguntepalya,ಗೋರಗುಂಟೆಪಾಳ್ಯ,West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,RO- Peenya,ARO- Peenya,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,214620,113540,101080,48740,8230,Jayanagar,Polygon,77.540791,13.022097,563
28,28 - Kottegepalya,ಕೊಟ್ಟಿಗೆಪಾಳ್ಯ,West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,RO- Peenya,ARO- Kotigepalya,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,228720,121650,107070,29060,6120,Bommanahalli,Polygon,77.51925,12.984485,838
62,62 - Brundavana Nagara,ಬೃಂದಾವನ ನಗರ,North,ಉತ್ತರ,2,Yelahanka,RO- Jalahalli,ARO- Yeshwanthpura,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,287490,149530,137960,16620,4340,Bommanahalli,Polygon,77.555369,13.032477,234
5,5 - Yelahanka Satellite Town,ಯಲಹಂಕ ಸ್ಯಾಟಲೈಟ್‌ ಟೌನ್‌,North,ಉತ್ತರ,2,Yelahanka,RO- Yelahanka,ARO- Yelahanka Satellite Town,150 - Yelahanka,150,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,298890,153510,145280,30500,8000,Jayanagar,Polygon,77.579865,13.098753,175
22,22 - Bangarappa Nagara,ಬಂಗಾರಪ್ಪ ನಗರ,West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,RO- Rajarajeswari Nagara,ARO- Rajarajeswari Nagara,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,284140,148460,136690,21400,8360,Bommanahalli,Polygon,77.524354,12.911377,1068
49,49 - Uttarahalli,ಉತ್ತರಹಳ್ಳಿ,South,ದಕ್ಷಿಣ,4,Jayanagar,RO- Anjanapura,ARO- Uttarahalli,176 - Bangalore South,176,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,253020,132080,120940,34740,6010,Jayanagar,Polygon,77.548672,12.899517,309
